plugin_file,line_num,original_jp,vietnamese
plugins.js,5,パラメータ解析を提供する共通基盤です,Thư viện cơ bản Nukazuke
plugins.js,6,開発支援プラグイン,Hiển thị hội thoại tự động dạng Baloon
plugins.js,7,画面キャプチャ管理プラグイン,Thay đổi hình nền cửa sổ hội thoại
plugins.js,8,Spineアニメーションプラグイン,Cố định chiều rộng phông chữ biểu tượng
plugins.js,8,"[""UI 戦闘"",""漫符"",""ヒットエフェクト"",""スキル情報"",""スチル2"",""拘束演出"",""スチル9"",""立ち絵_サキュバス"",""スチル8"",""スチル4-1"",""スチル4-2"",""スチル15"",""立ち絵_セラ"",""UI ホーム画面"",""スチル10"",""スチル5"",""スチル14"",""スチル7"",""スチル7_カットイン"",""スチル11"",""スチル12"",""クリック誘導_スチル7"",""立ち絵_セラ正面"",""スチル16"",""スチル6"",""スチル1"",""ピンクもや"",""スチル3"",""スチル13"",""まばたき"",""治療25_キス"",""UI 編成"",""UI 回想"",""UI ショップ"",""UI アフターケアリスト"",""アフターケア0"",""スチル17"",""UI アフターケア"",""アフターケア1"",""サブタイトル"",""アフターケア4"",""アフターケア8"",""アフターケア2"",""アフターケア3"",""アフターケア5"",""アフターケア6"",""アフターケア7""]",Tự động khôi phục dữ liệu lưu bị hỏng
plugins.js,9,マウスカーソルがピクチャ上にある時、その色を変数に代入します,Tạo các nút ảo
plugins.js,10,動的文字列ピクチャ生成プラグイン,Plugin hỗ trợ thiết bị di động
plugins.js,11,汎用ゲージ追加プラグイン,Plugin thông số hình ảnh tùy chỉnh
plugins.js,11,"[""{\\""SceneName\\"":\\""Scene_Map\\"",\\""Id\\"":\\""照れゲージ\\"",\\""SwitchId\\"":\\""42\\"",\\""OpacityVariable\\"":\\""0\\"",\\""Layout\\"":\\""{\\\\\\""x\\\\\\"":\\\\\\""654\\\\\\"",\\\\\\""y\\\\\\"":\\\\\\""44\\\\\\"",\\\\\\""originX\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""originY\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""linkCharacter\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""realTime\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""width\\\\\\"":\\\\\\""170\\\\\\"",\\\\\\""height\\\\\\"":\\\\\\""40\\\\\\"",\\\\\\""GaugeX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeEndX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeHeight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Vertical\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""Mirror\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ParentWindow\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""CurrentMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""42\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""MaxMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""80\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""100\\\\\\""}\\"",\\""Detail\\"":\\""{\\\\\\""RisingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""FallingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""GaugeImage\\\\\\"":\\\\\\""システム/照れゲージ1\\\\\\"",\\\\\\""GaugeBackHidden\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""ScaleAutoAdjust\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""GaugeColorPreset\\\\\\"":\\\\\\""hp\\\\\\"",\\\\\\""GaugeColorLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""BackColor\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Label\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""LabelY\\\\\\"":\\\\\\""3\\\\\\"",\\\\\\""IconIndex\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""LabelFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""DrawValue\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ValueFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""ValueFormat\\\\\\"":\\\\\\""%1/%2\\\\\\"",\\\\\\""ValuePadZeroDigit\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""ValueAlign\\\\\\"":\\\\\\""right\\\\\\"",\\\\\\""FlashIfFull\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""FullSwitchId\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""LowerPicture\\"":\\""{\\\\\\""FileName\\\\\\"":\\\\\\""システム/照れゲージ2\\\\\\"",\\\\\\""OffsetX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""OffsetY\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""UpperPicture\\"":\\""\\"",\\""Battler\\"":\\""\\""}"",""{\\""SceneName\\"":\\""Scene_Map\\"",\\""Id\\"":\\""射精ゲージ\\"",\\""SwitchId\\"":\\""43\\"",\\""OpacityVariable\\"":\\""0\\"",\\""Layout\\"":\\""{\\\\\\""x\\\\\\"":\\\\\\""654\\\\\\"",\\\\\\""y\\\\\\"":\\\\\\""696\\\\\\"",\\\\\\""originX\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""originY\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""linkCharacter\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""realTime\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""width\\\\\\"":\\\\\\""170\\\\\\"",\\\\\\""height\\\\\\"":\\\\\\""40\\\\\\"",\\\\\\""GaugeX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeEndX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeHeight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Vertical\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""Mirror\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ParentWindow\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""CurrentMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""43\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""MaxMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""72\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""Detail\\"":\\""{\\\\\\""RisingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""FallingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""GaugeImage\\\\\\"":\\\\\\""システム/射精ゲージ1\\\\\\"",\\\\\\""GaugeBackHidden\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""ScaleAutoAdjust\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""GaugeColorPreset\\\\\\"":\\\\\\""hp\\\\\\"",\\\\\\""GaugeColorLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""BackColor\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Label\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""LabelY\\\\\\"":\\\\\\""3\\\\\\"",\\\\\\""IconIndex\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""LabelFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""DrawValue\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ValueFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""ValueFormat\\\\\\"":\\\\\\""%1/%2\\\\\\"",\\\\\\""ValuePadZeroDigit\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""ValueAlign\\\\\\"":\\\\\\""right\\\\\\"",\\\\\\""FlashIfFull\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""FullSwitchId\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""LowerPicture\\"":\\""{\\\\\\""FileName\\\\\\"":\\\\\\""システム/射精ゲージ2\\\\\\"",\\\\\\""OffsetX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""OffsetY\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""UpperPicture\\"":\\""\\"",\\""Battler\\"":\\""\\""}"",""{\\""SceneName\\"":\\""Scene_Map\\"",\\""Id\\"":\\""照れゲージ\\"",\\""SwitchId\\"":\\""52\\"",\\""OpacityVariable\\"":\\""0\\"",\\""Layout\\"":\\""{\\\\\\""x\\\\\\"":\\\\\\""154\\\\\\"",\\\\\\""y\\\\\\"":\\\\\\""44\\\\\\"",\\\\\\""originX\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""originY\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""linkCharacter\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""realTime\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""width\\\\\\"":\\\\\\""170\\\\\\"",\\\\\\""height\\\\\\"":\\\\\\""40\\\\\\"",\\\\\\""GaugeX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeEndX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeHeight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Vertical\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""Mirror\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ParentWindow\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""CurrentMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""42\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""MaxMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""80\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""100\\\\\\""}\\"",\\""Detail\\"":\\""{\\\\\\""RisingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""FallingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""GaugeImage\\\\\\"":\\\\\\""システム/照れゲージ1\\\\\\"",\\\\\\""GaugeBackHidden\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""ScaleAutoAdjust\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""GaugeColorPreset\\\\\\"":\\\\\\""hp\\\\\\"",\\\\\\""GaugeColorLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""BackColor\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Label\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""LabelY\\\\\\"":\\\\\\""3\\\\\\"",\\\\\\""IconIndex\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""LabelFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""DrawValue\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ValueFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""ValueFormat\\\\\\"":\\\\\\""%1/%2\\\\\\"",\\\\\\""ValuePadZeroDigit\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""ValueAlign\\\\\\"":\\\\\\""right\\\\\\"",\\\\\\""FlashIfFull\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""FullSwitchId\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""LowerPicture\\"":\\""{\\\\\\""FileName\\\\\\"":\\\\\\""システム/照れゲージ2\\\\\\"",\\\\\\""OffsetX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""OffsetY\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""UpperPicture\\"":\\""\\"",\\""Battler\\"":\\""\\""}"",""{\\""SceneName\\"":\\""Scene_Map\\"",\\""Id\\"":\\""射精ゲージ\\"",\\""SwitchId\\"":\\""53\\"",\\""OpacityVariable\\"":\\""0\\"",\\""Layout\\"":\\""{\\\\\\""x\\\\\\"":\\\\\\""484\\\\\\"",\\\\\\""y\\\\\\"":\\\\\\""696\\\\\\"",\\\\\\""originX\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""originY\\\\\\"":\\\\\\""center\\\\\\"",\\\\\\""linkCharacter\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""realTime\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""width\\\\\\"":\\\\\\""170\\\\\\"",\\\\\\""height\\\\\\"":\\\\\\""40\\\\\\"",\\\\\\""GaugeX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeEndX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeHeight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Vertical\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""Mirror\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ParentWindow\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""CurrentMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""43\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""MaxMethod\\"":\\""{\\\\\\""VariableId\\\\\\"":\\\\\\""72\\\\\\"",\\\\\\""Script\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""FixedValue\\\\\\"":\\\\\\""\\\\\\""}\\"",\\""Detail\\"":\\""{\\\\\\""RisingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""FallingSmoothness\\\\\\"":\\\\\\""30\\\\\\"",\\\\\\""GaugeImage\\\\\\"":\\\\\\""システム/射精ゲージ1\\\\\\"",\\\\\\""GaugeBackHidden\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""ScaleAutoAdjust\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""GaugeColorPreset\\\\\\"":\\\\\\""hp\\\\\\"",\\\\\\""GaugeColorLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullLeft\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""GaugeColorFullRight\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""BackColor\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""Label\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""LabelY\\\\\\"":\\\\\\""3\\\\\\"",\\\\\\""IconIndex\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""LabelFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""DrawValue\\\\\\"":\\\\\\""false\\\\\\"",\\\\\\""ValueFont\\\\\\"":\\\\\\""\\\\\\"",\\\\\\""ValueFormat\\\\\\"":\\\\\\""%1/%2\\\\\\"",\\\\\\""ValuePadZeroDigit\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""ValueAlign\\\\\\"":\\\\\\""right\\\\\\"",\\\\\\""FlashIfFull\\\\\\"":\\\\\\""true\\\\\\"",\\\\\\""FullSwitchId\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""LowerPicture\\"":\\""{\\\\\\""FileName\\\\\\"":\\\\\\""システム/射精ゲージ2\\\\\\"",\\\\\\""OffsetX\\\\\\"":\\\\\\""0\\\\\\"",\\\\\\""OffsetY\\\\\\"":\\\\\\""0\\\\\\""}\\"",\\""UpperPicture\\"":\\""\\"",\\""Battler\\"":\\""\\""}""]",Trình quản lý tệp và cấu hình hệ thống
plugins.js,12,変数の限界値設定プラグイン,Cài đặt giới hạn giá trị biến số
