file,entry_id,event_name,map_name,scene_type,speaker_clean,speaker_raw,original_jp,vietnamese
Actors,1,name,,UI_Database,,,主人公,Main
Items,1,name,,UI_Database,,,アイテム1,Vật phẩm 1
Items,1,description,,UI_Database,,,アイテム1の説明,Mô tả vật phẩm 1
Items,2,name,,UI_Database,,,アイテム2,Vật phẩm 2
Items,2,description,,UI_Database,,,アイテム2の説明,Mô tả vật phẩm 2
System,0,gameTitle,,UI_System,,,天使の早漏治療クリニック,Phòng Khám Thiên Sứ: Chuyên Trị Xuất Tinh Sớm
System,0,armorTypes[1],,UI_System,,,一般防具,Giáp thường
System,0,armorTypes[2],,UI_System,,,魔法防具,Giáp phép
System,0,armorTypes[3],,UI_System,,,軽装防具,Giáp nhẹ
System,0,armorTypes[4],,UI_System,,,重装防具,Giáp nặng
System,0,armorTypes[5],,UI_System,,,小型盾,Khiên Nhỏ
System,0,armorTypes[6],,UI_System,,,大型盾,Khiên Lớn
System,0,weaponTypes[1],,UI_System,,,短剣,Đoản kiếm
System,0,weaponTypes[2],,UI_System,,,剣,Kiếm
System,0,weaponTypes[3],,UI_System,,,フレイル,Chùy xích
System,0,weaponTypes[4],,UI_System,,,斧,Rìu
System,0,weaponTypes[5],,UI_System,,,ムチ,Roi
System,0,weaponTypes[6],,UI_System,,,杖,Gậy phép
System,0,weaponTypes[7],,UI_System,,,弓,Cung
System,0,weaponTypes[8],,UI_System,,,クロスボウ,Nỏ
System,0,weaponTypes[9],,UI_System,,,銃,Súng
System,0,weaponTypes[10],,UI_System,,,爪,Móng vuốt
System,0,weaponTypes[11],,UI_System,,,グローブ,Găng tay
System,0,weaponTypes[12],,UI_System,,,槍,Thương
System,0,skillTypes[1],,UI_System,,,魔法,Phép thuật
System,0,skillTypes[2],,UI_System,,,必殺技,Tuyệt kỹ
System,0,equipTypes[1],,UI_System,,,武器,Vũ khí
System,0,equipTypes[2],,UI_System,,,盾,Khiên
System,0,equipTypes[3],,UI_System,,,頭,Đầu
System,0,equipTypes[4],,UI_System,,,身体,Thân
System,0,equipTypes[5],,UI_System,,,装飾品,Phụ kiện
System,0,elements[1],,UI_System,,,物理,Vật lý
System,0,elements[2],,UI_System,,,炎,Hỏa
System,0,elements[3],,UI_System,,,氷,Băng
System,0,elements[4],,UI_System,,,雷,Lôi
System,0,elements[5],,UI_System,,,水,Thủy
System,0,elements[6],,UI_System,,,土,Thổ
System,0,elements[7],,UI_System,,,風,Phong
System,0,elements[8],,UI_System,,,光,Quang
System,0,elements[9],,UI_System,,,闇,Bộc
System,0,terms.basic[0],,UI_System,,,レベル,Cấp độ
System,0,terms.basic[1],,UI_System,,,Lv,Lv
System,0,terms.basic[2],,UI_System,,,ＨＰ,HP
System,0,terms.basic[3],,UI_System,,,HP,HP
System,0,terms.basic[4],,UI_System,,,ＭＰ,MP
System,0,terms.basic[5],,UI_System,,,MP,MP
System,0,terms.basic[6],,UI_System,,,ＴＰ,TP
System,0,terms.basic[7],,UI_System,,,TP,TP
System,0,terms.basic[8],,UI_System,,,経験値,EXP
System,0,terms.basic[9],,UI_System,,,EXP,EXP
System,0,terms.commands[0],,UI_System,,,戦う,Chiến đấu
System,0,terms.commands[1],,UI_System,,,逃げる,Chạy trốn
System,0,terms.commands[2],,UI_System,,,攻撃,Tấn công
System,0,terms.commands[3],,UI_System,,,防御,Phòng thủ
System,0,terms.commands[4],,UI_System,,,アイテム,Vật phẩm
System,0,terms.commands[5],,UI_System,,,スキル,Kỹ năng
System,0,terms.commands[6],,UI_System,,,装備,Trang bị
System,0,terms.commands[7],,UI_System,,,ステータス,Chỉ số
System,0,terms.commands[8],,UI_System,,,並び替え,Đổi vị trí
System,0,terms.commands[9],,UI_System,,,セーブ,Lưu
System,0,terms.commands[10],,UI_System,,,ゲーム終了,Thoát game
System,0,terms.commands[11],,UI_System,,,オプション,Tùy chỉnh
System,0,terms.commands[12],,UI_System,,,武器,Vũ khí
System,0,terms.commands[13],,UI_System,,,防具,Giáp
System,0,terms.commands[14],,UI_System,,,大事なもの,Vật phẩm quan trọng
System,0,terms.commands[15],,UI_System,,,装備,Trang bị
System,0,terms.commands[16],,UI_System,,,最強装備,Mặc mạnh nhất
System,0,terms.commands[17],,UI_System,,,全て外す,Tháo tất cả
System,0,terms.commands[18],,UI_System,,,ニューゲーム,Game mới
System,0,terms.commands[19],,UI_System,,,コンティニュー,Tiếp tục
System,0,terms.commands[21],,UI_System,,,タイトルへ,Về màn hình chính
System,0,terms.commands[22],,UI_System,,,やめる,Hủy
System,0,terms.commands[24],,UI_System,,,購入する,Mua
System,0,terms.commands[25],,UI_System,,,売却する,Bán
System,0,terms.params[0],,UI_System,,,最大ＨＰ,HP tối đa
System,0,terms.params[1],,UI_System,,,最大ＭＰ,MP tối đa
System,0,terms.params[2],,UI_System,,,攻撃力,Sức tấn công
System,0,terms.params[3],,UI_System,,,防御力,Sức phòng thủ
System,0,terms.params[4],,UI_System,,,魔法力,Phép thuật
System,0,terms.params[5],,UI_System,,,魔法防御,Kháng phép
System,0,terms.params[6],,UI_System,,,敏捷性,Tốc độ
System,0,terms.params[7],,UI_System,,,運,May mắn
System,0,terms.params[8],,UI_System,,,命中率,Tỷ lệ trúng
System,0,terms.params[9],,UI_System,,,回避率,Tỷ lệ né
System,0,terms.messages.alwaysDash,,UI_System,,,常時ダッシュ,Luôn chạy nhanh
System,0,terms.messages.commandRemember,,UI_System,,,コマンド記憶,Ghi nhớ lệnh
System,0,terms.messages.touchUI,,UI_System,,,タッチUI,Giao diện cảm ứng
System,0,terms.messages.bgmVolume,,UI_System,,,BGM 音量,Âm lượng BGM
System,0,terms.messages.bgsVolume,,UI_System,,,BGS 音量,Âm lượng BGS
System,0,terms.messages.meVolume,,UI_System,,,ME 音量,Âm lượng ME
System,0,terms.messages.seVolume,,UI_System,,,SE 音量,Âm lượng SE
System,0,terms.messages.possession,,UI_System,,,持っている数,Số lượng sở hữu
System,0,terms.messages.expTotal,,UI_System,,,現在の%1,Hiện tại %1
System,0,terms.messages.expNext,,UI_System,,,次の%1まで,Đến %1 kế tiếp
System,0,terms.messages.saveMessage,,UI_System,,,どのファイルにセーブしますか？,Chọn ô để lưu dữ liệu:
System,0,terms.messages.loadMessage,,UI_System,,,どのファイルをロードしますか？,Chọn ô để tải dữ liệu:
System,0,terms.messages.file,,UI_System,,,ファイル,Tập tin
System,0,terms.messages.autosave,,UI_System,,,オートセーブ,Tự động lưu
System,0,terms.messages.partyName,,UI_System,,,%1たち,Nhóm của %1
System,0,terms.messages.emerge,,UI_System,,,%1が出現！,%1 đã xuất hiện!
System,0,terms.messages.preemptive,,UI_System,,,%1は先手を取った！,%1 đã giành thế chủ động!
System,0,terms.messages.surprise,,UI_System,,,%1は不意をつかれた！,%1 đã bị đánh lén!
System,0,terms.messages.escapeStart,,UI_System,,,%1は逃げ出した！,%1 đã tẩu thoát!
System,0,terms.messages.escapeFailure,,UI_System,,,しかし逃げることはできなかった！,Nhưng không thể tẩu thoát!
System,0,terms.messages.victory,,UI_System,,,%1の勝利！,%1 đã chiến thắng!
System,0,terms.messages.defeat,,UI_System,,,%1は戦いに敗れた。,%1 đã thất bại trong trận chiến.
System,0,terms.messages.obtainExp,,UI_System,,,%1 の%2を獲得！,Đã nhận được %2 của %1!
System,0,terms.messages.obtainGold,,UI_System,,,お金を %1\G 手に入れた！,Nhận được %1\G!
System,0,terms.messages.obtainItem,,UI_System,,,%1を手に入れた！,Đã nhận được %1!
System,0,terms.messages.levelUp,,UI_System,,,%1は%2 %3 に上がった！,%1 đã tăng %2 thêm %3!
System,0,terms.messages.obtainSkill,,UI_System,,,%1を覚えた！,Đã học được %1!
System,0,terms.messages.useItem,,UI_System,,,%1は%2を使った！,%1 đã sử dụng %2!
System,0,terms.messages.criticalToEnemy,,UI_System,,,会心の一撃！！,Đòn đánh chí mạng!!
System,0,terms.messages.criticalToActor,,UI_System,,,痛恨の一撃！！,Đòn đánh chí mạng tàn khốc!!
System,0,terms.messages.actorDamage,,UI_System,,,%1は %2 のダメージを受けた！,%1 chịu %2 sát thương!
System,0,terms.messages.actorRecovery,,UI_System,,,%1の%2が %3 回復した！,%2 của %1 đã hồi phục %3!
System,0,terms.messages.actorGain,,UI_System,,,%1の%2が %3 増えた！,%2 của %1 tăng thêm %3!
System,0,terms.messages.actorLoss,,UI_System,,,%1の%2が %3 減った！,%2 của %1 giảm %3!
System,0,terms.messages.actorDrain,,UI_System,,,%1は%2を %3 奪われた！,%1 bị cướp %3 %2!
System,0,terms.messages.actorNoDamage,,UI_System,,,%1はダメージを受けていない！,%1 không chịu sát thương!
System,0,terms.messages.actorNoHit,,UI_System,,,ミス！　%1はダメージを受けていない！,Hụt! %1 không chịu sát thương!
System,0,terms.messages.enemyDamage,,UI_System,,,%1に %2 のダメージを与えた！,Gây %2 sát thương cho %1!
System,0,terms.messages.enemyRecovery,,UI_System,,,%1の%2が %3 回復した！,%2 của %1 đã hồi phục %3!
System,0,terms.messages.enemyGain,,UI_System,,,%1の%2が %3 増えた！,%2 của %1 tăng thêm %3!
System,0,terms.messages.enemyLoss,,UI_System,,,%1の%2が %3 減った！,%2 của %1 giảm %3!
System,0,terms.messages.enemyDrain,,UI_System,,,%1の%2を %3 奪った！,Đã cướp %3 %2 của %1!
System,0,terms.messages.enemyNoDamage,,UI_System,,,%1にダメージを与えられない！,Không thể gây sát thương cho %1!
System,0,terms.messages.enemyNoHit,,UI_System,,,ミス！　%1にダメージを与えられない！,Hụt! Không thể gây sát thương cho %1!
System,0,terms.messages.evasion,,UI_System,,,%1は攻撃をかわした！,%1 đã né được đòn tấn công!
System,0,terms.messages.magicEvasion,,UI_System,,,%1は魔法を打ち消した！,%1 đã hóa giải phép thuật!
System,0,terms.messages.magicReflection,,UI_System,,,%1は魔法を跳ね返した！,%1 đã phản lại phép thuật!
System,0,terms.messages.counterAttack,,UI_System,,,%1の反撃！,%1 phản công!
System,0,terms.messages.substitute,,UI_System,,,%1が%2をかばった！,%1 đã che chắn cho %2!
System,0,terms.messages.buffAdd,,UI_System,,,%1の%2が上がった！,%2 của %1 đã tăng!
System,0,terms.messages.debuffAdd,,UI_System,,,%1の%2が下がった！,%2 của %1 đã giảm!
System,0,terms.messages.buffRemove,,UI_System,,,%1の%2が元に戻った！,%2 của %1 trở lại bình thường!
System,0,terms.messages.actionFailure,,UI_System,,,%1には効かなかった！,Không có tác dụng đối với %1!
MapInfos,1,name,治療8,UI_MapName,,,治療8,Trị liệu 8
MapInfos,2,name,治療1,UI_MapName,,,治療1,Trị liệu 1
MapInfos,3,name,敗北イベント,UI_MapName,,,敗北イベント,Sự kiện Thất bại
MapInfos,4,name,治療4,UI_MapName,,,治療4,Trị liệu 4
MapInfos,5,name,治療13,UI_MapName,,,治療13,Trị liệu 13
MapInfos,6,name,治療9,UI_MapName,,,治療9,Trị liệu 9
MapInfos,7,name,治療14,UI_MapName,,,治療14,Trị liệu 14
MapInfos,8,name,OP,UI_MapName,,,OP,Mở đầu
MapInfos,9,name,ホーム画面,UI_MapName,,,ホーム画面,Màn hình chính
MapInfos,10,name,回想,UI_MapName,,,回想,Hồi tưởng
MapInfos,11,name,編成,UI_MapName,,,編成,Đội hình
MapInfos,12,name,買い物,UI_MapName,,,買い物,Cửa hàng
MapInfos,13,name,アフターケアリスト,UI_MapName,,,アフターケアリスト,Danh sách Aftercare
MapInfos,14,name,治療2,UI_MapName,,,治療2,Trị liệu 2
MapInfos,15,name,治療3,UI_MapName,,,治療3,Trị liệu 5
MapInfos,16,name,治療5,UI_MapName,,,治療5,Trị liệu 3
MapInfos,17,name,治療6,UI_MapName,,,治療6,Trị liệu 6
MapInfos,18,name,治療7,UI_MapName,,,治療7,Trị liệu 10
MapInfos,19,name,治療10,UI_MapName,,,治療10,Trị liệu 11
MapInfos,20,name,治療11,UI_MapName,,,治療11,Trị liệu 12
MapInfos,21,name,治療15,UI_MapName,,,治療15,Trị liệu 7
MapInfos,22,name,治療16,UI_MapName,,,治療16,Trường bắn
MapInfos,23,name,治療17,UI_MapName,,,治療17,Ma Đạo Cung
MapInfos,24,name,治療18,UI_MapName,,,治療18,Khám bệnh
MapInfos,25,name,治療19,UI_MapName,,,治療19,Ngoại ô
MapInfos,26,name,治療21,UI_MapName,,,治療21,Thành phố
MapInfos,27,name,治療22,UI_MapName,,,治療22,Phòng của Main
MapInfos,28,name,治療23,UI_MapName,,,治療23,Phòng khách
MapInfos,29,name,治療24,UI_MapName,,,治療24,Con đường rực rỡ
MapInfos,30,name,治療20,UI_MapName,,,治療20,Thánh đường
MapInfos,31,name,治療導入,UI_MapName,,,治療導入,Sảnh phụ
MapInfos,32,name,メインストーリー,UI_MapName,,,メインストーリー,Lối đi
MapInfos,33,name,治療12,UI_MapName,,,治療12,Con đường bóng tối
MapInfos,34,name,治療25,UI_MapName,,,治療25,Mê cung bí mật
MapInfos,35,name,回想再生,UI_MapName,,,回想再生,Khu vực tự do
MapInfos,36,name,治療1_チュートリアル,UI_MapName,,,治療1_チュートリアル,Vườn hoa quyến rũ
MapInfos,37,name,治療,UI_MapName,,,治療,Căn phòng u ám
MapInfos,38,name,アフターケア,UI_MapName,,,アフターケア,Hành lang
MapInfos,39,name,アフターケア1,UI_MapName,,,アフターケア1,Phòng nghỉ
MapInfos,40,name,アフターケア2,UI_MapName,,,アフターケア2,Aftercare 1
MapInfos,41,name,アフターケア3,UI_MapName,,,アフターケア3,Aftercare 2
MapInfos,42,name,アフターケア4,UI_MapName,,,アフターケア4,Aftercare 3
MapInfos,43,name,アフターケア5,UI_MapName,,,アフターケア5,Aftercare 4
MapInfos,44,name,アフターケア6,UI_MapName,,,アフターケア6,Aftercare 5
MapInfos,45,name,アフターケア7,UI_MapName,,,アフターケア7,Aftercare 6
MapInfos,46,name,アフターケア8,UI_MapName,,,アフターケア8,Aftercare 7
MapInfos,47,name,裏メニュー,UI_MapName,,,裏メニュー,Menu ẩn
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,"鼻息が荒いですよ。
本当はセックスしたいんですよね？","Hơi thở của anh dồn dập quá đấy.
Thật ra anh đang muốn làm tình đúng không?"
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],はい,Có
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,では、降参して私とえっちしますか？,"Thế thì, anh có muốn đầu hàng rồi làm tình với em không?"
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,"今なら正直に言っても怒りませんよ。
私と恋人みたいに濃厚なセックス、したいですか？","Bây giờ nếu anh nói thật em sẽ không giận đâu.
Anh có muốn làm tình nồng nhiệt như người yêu với em không?"
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],はい,Có
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,では、降参して私とえっちしますか？,"Thế thì, anh có muốn đầu hàng rồi làm tình với em không?"
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,"ふふ……素直で可愛いですね。
じゃあ、私に身を任せてください。
すぐに負かしてあげます。","Hì hì... ngoan ngoãn đáng yêu quá đấy.
Vậy hãy giao phó cơ thể cho em nhé.
Em sẽ đánh bại anh ngay thôi."
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,"ちゃんと理性を保っているようですね。
偉いですよ……ちょっと残念ですけど。","Có vẻ anh vẫn giữ được lý trí nhỉ.
Ngoan lắm đấy... dù em hơi tiếc một chút."
CommonEvents,125,セラ行動_治療4,治療4,18+_治療,セラ,\C[4]セラ,"そうですか。別に構いませんけどね。
決して怒ってなんていませんし。","Vậy sao. Em cũng không bận tâm đâu.
Tuyệt đối không có chuyện em đang giận đâu đấy."
CommonEvents,137,セラ行動_治療5,治療5,18+_治療,セラ,\C[4]セラ,その苦しそうなおちんちん、舐めてあげましょうか？,"Con cu đang thèm khát khổ sở kia, em mút cho anh nhé?"
CommonEvents,137,セラ行動_治療5,治療5,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,137,セラ行動_治療5,治療5,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,137,セラ行動_治療5,治療5,18+_治療,セラ,\C[4]セラ,"弱いピストンじゃ満足できないでしょう？
思いっきり腰を振りませんか？","Nhấp nhẹ nhàng thế này chắc anh chưa thỏa mãn đâu nhỉ?
Hay là anh thử dập hông hết sức xem sao?"
CommonEvents,137,セラ行動_治療5,治療5,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,137,セラ行動_治療5,治療5,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,セラ,\C[4]セラ,"ずっとおっぱい見てるよね
ここで甘やかして欲しい？","Anh cứ nhìn chằm chằm vào ngực em hoài nhỉ?
Anh muốn em cưng nựng anh ở đây sao?"
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,セラ,\C[4]セラ,"じゃあ、私に下半身預けてね。
恥ずかしい恰好しちゃお？","Thế thì cứ giao nửa thân dưới cho em nhé.
Chúng ta cùng tạo tư thế xấu hổ nào?"
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,セラ,\C[4]セラ,"我慢しなくていいのに。
残念。","Rõ ràng không cần phải chịu đựng mà.
Tiếc thật đấy."
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,セラ,\C[4]セラ,"おちんちんびんびんでつらいよね。
そろそろ本気パイズリでトドメ刺してもらう？","Con cu cứng ngắc thế kia chắc khó chịu lắm nhỉ.
Hay là để em dùng ngực kẹp dập nát anh luôn nhé?"
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,152,セラ行動_治療11,治療11,18+_治療,[Choice],[Choice],いいえ,Không
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,セラ,\C[4]セラ,カジノのように少し賭けをしてみましょうか。,Hay là chúng ta thử cá cược một chút như ở sòng bạc nhé?
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,セラ,\C[4]セラ,"今からあなたにぱふぱふをしてあげますので、
おちんちんが反応するかしないかで賭けましょう。","Bây giờ em sẽ úp mặt anh vào ngực em,
nên hãy cá cược xem con cu của anh có phản ứng hay không nhé."
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,[Choice],[Choice],\c[2]反応する,\c[2]Sẽ phản ứng
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,[Choice],[Choice],\c[2]反応しない,\c[2]Không phản ứng
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,[Choice],[Choice],賭けない,Không cá cược
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,セラ,\C[4]セラ,カジノのように少し賭けをしてみましょうか。,Hay là chúng ta thử cá cược một chút như ở sòng bạc nhé?
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,セラ,\C[4]セラ,"今からあなたに速めの足コキをしてあげますので、
あなたが表情を崩すか崩さないかで賭けましょう。","Bây giờ em sẽ cọ chân thật nhanh cho anh,
hãy cá xem anh có nhăn mặt kiềm chế được không nhé."
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,[Choice],[Choice],\c[2]はい,\c[2]Có
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,[Choice],[Choice],\c[2]いいえ,\c[2]Không
CommonEvents,154,セラ行動_治療15,治療15,18+_治療,[Choice],[Choice],賭けない,Không cá cược
