ce_id,ce_name,cmd_idx,japanese_text,vietnamese_translation
125,セラ行動_治療4,18,本当はセックスしたいんですよね？,
125,セラ行動_治療4,65,私と恋人みたいに濃厚なセックス、したいですか？,
125,セラ行動_治療4,106,じゃあ、私に身を任せてください。,
125,セラ行動_治療4,107,すぐに負かしてあげます。,
125,セラ行動_治療4,155,偉いですよ……ちょっと残念ですけど。,
125,セラ行動_治療4,175,決して怒ってなんていませんし。,
137,セラ行動_治療5,328,思いっきり腰を振りませんか？,
152,セラ行動_治療11,343,ここで甘やかして欲しい？,
152,セラ行動_治療11,363,恥ずかしい恰好しちゃお？,
152,セラ行動_治療11,383,残念。,
152,セラ行動_治療11,409,そろそろ本気パイズリでトドメ刺してもらう？,
154,セラ行動_治療15,384,おちんちんが反応するかしないかで賭けましょう。,
154,セラ行動_治療15,592,あなたが表情を崩すか崩さないかで賭けましょう。,
158,セラ行動_治療17,207,あなたもここにおちんちん入れたいですよね……？』,
158,セラ行動_治療17,228,セックスも偽物で良いですよね？,
162,セラ行動_治療19,468,触り心地がいいですよ。,
164,セラ行動_治療21,158,もう、いいですよね……？,
164,セラ行動_治療21,172,あなたのおちんちん、入れてくれますか……？,
164,セラ行動_治療21,192,そうですよね、あなたも我慢できないですよね……♡,
164,セラ行動_治療21,213,なんでぇ……。,
166,セラ行動_治療22,124,さすが変態マゾだね。,
166,セラ行動_治療22,138,サービスしてあげてもいいけど？,
166,セラ行動_治療22,158,じゃあ罵られて我慢汁漏らす準備しろ。,
166,セラ行動_治療22,234,生意気……。,
304,お金経験値付与,619,射精ゲージの最大値が999に到達した！,
304,お金経験値付与,633,射精ゲージの最大値が20増えた！,
304,お金経験値付与,648,射精ゲージの最大値が40増えた！,
304,お金経験値付与,653,射精ゲージの最大値が999に到達した！,
304,お金経験値付与,670,射精ゲージの最大値が60増えた！,
304,お金経験値付与,675,射精ゲージの最大値が999に到達した！,
304,お金経験値付与,688,射精ゲージの最大値が80増えた！,
304,お金経験値付与,693,射精ゲージの最大値が999に到達した！,
304,お金経験値付与,709,お金を\c[14]\v[74]\c[0]得た！,
310,アフターケア解放,6,※治療選択画面からプレイできます。,
364,アフターケア導入初回,51,というのは世の常です。,
364,アフターケア導入初回,65,その原因を早急に取り除かなくてはなりません。,
364,アフターケア導入初回,81,認識できていない可能性は十分にあります。,
364,アフターケア導入初回,95,あなたの心をケアできればと。,
364,アフターケア導入初回,109,疲れを自覚しているなら遠慮なく私に甘えてください。,
364,アフターケア導入初回,130,してさしあげられますので。,
364,アフターケア導入初回,151,魔法で録画させていただきますのでご了承ください。,
365,アフターケア導入,12,まずはお話をしてリラックスしましょう。,
366,アフターケア5導入初回,8,セラさん出かけて帰ってこないな……）,
366,アフターケア5導入初回,28,なんであなたがここに！？,
366,アフターケア5導入初回,44,気になって来ちゃった☆,
366,アフターケア5導入初回,58,今から「チリョー」してもらう予定なの？,
366,アフターケア5導入初回,61,癒してもらったりする、みたいな感じですけど……。,
366,アフターケア5導入初回,77,お兄さん、甘えん坊で恥ずかしー♡　くすくす♡,
366,アフターケア5導入初回,91,ほったらかしにされてかわいそ～。,
366,アフターケア5導入初回,107,代わりに私がやってあげよっか？♡,
366,アフターケア5導入初回,110,なんでですか！,
366,アフターケア5導入初回,137,スッキリしてみたいでしょ？♡,
366,アフターケア5導入初回,154,この欲しがりさんめ♡,
366,アフターケア5導入初回,168,早く案内してよ♡,
366,アフターケア5導入初回,185,いちゃいちゃしちゃお……？♡,
367,アフターケア5導入,13,いちゃいちゃしちゃお……？♡,
368,アフターケア1-1,16,知りたいんですか？,
368,アフターケア1-1,30,不安なんですね。,
368,アフターケア1-1,44,あなたのことを可愛いと思っています。,
368,アフターケア1-1,58,全て好意の裏返しです。,
368,アフターケア1-1,72,私に見せて欲しいくらいですが……。,
368,アフターケア1-1,99,ありませんので。,
368,アフターケア1-1,114,まずは私の方からきっかけを作りましょう。,
368,アフターケア1-1,131,よしよし。,
368,アフターケア1-1,145,ここにはあなたと優しいナースさんしかいませんから。,
368,アフターケア1-1,161,良かったです。,
368,アフターケア1-1,193,それは治療で意地悪をしているからでしょうか。,
368,アフターケア1-1,209,あなたが可愛い反応をするせいですよ？,
368,アフターケア1-1,228,軽くあなたの乳首をかりかりとしてみると……。,
368,アフターケア1-1,242,そういう反応が私をSにさせているんですよ。,
368,アフターケア1-1,256,私になら、そういった面を見せても良いです。,
368,アフターケア1-1,272,ふふ。,
368,アフターケア1-1,302,もちろん用意していますよ。,
368,アフターケア1-1,316,……一足先に味見してしまいますか？,
368,アフターケア1-1,333,にゅこにゅこちこちこ……。,
368,アフターケア1-1,347,あなた好みの粘度ではないですか？,
368,アフターケア1-1,361,お気に召したようですね。,
368,アフターケア1-1,394,私の膝の上で癒してあげますね。,
369,アフターケア1-2,16,どうですか？　心地良いですか？,
369,アフターケア1-2,43,その分私がたくさん撫でてあげます。,
369,アフターケア1-2,57,よしよし、と……。,
369,アフターケア1-2,72,ますます硬くなってきました。,
369,アフターケア1-2,102,元気よく吸い付いていますね。,
369,アフターケア1-2,131,精神の安定のために必要なことです。,
369,アフターケア1-2,186,しこ……しこ……。,
369,アフターケア1-2,200,おちんちんを撫でていきます。,
369,アフターケア1-2,214,格好いいですよ。,
369,アフターケア1-2,228,お精子を作ってください。,
369,アフターケア1-2,242,待っていてあげますからね。,
369,アフターケア1-2,271,しこしこしこしこ……。,
369,アフターケア1-2,285,気持ちいいですね。,
369,アフターケア1-2,299,刺激は強いのに痛くないでしょう？,
