original_path,export_name,category,note,status
img\titles1\タイトル画面.png,Title_タイトル画面.png,Title,Màn hình tiêu đề game — cần thay tên game,pending
img\titles2\Command_0.png,Command_0.png,TitleCommand,Nút Khám Lần Đầu trên bìa hồ sơ,pending
img\titles2\Command_1.png,Command_1.png,TitleCommand,Nút Tái Khám trên bìa hồ sơ,pending
img\titles2\Command_2.png,Command_2.png,TitleCommand,Nút Tùy Chọn trên bìa hồ sơ,pending
img\spines\UI 戦闘.png,UI 戦闘.png,Spine_UI,Spine Texture Atlas giao diện chiến đấu (Còn / Lượt),pending
img\pictures\システム\PC_ホーム画面1.png,PC_ホーム画面1.png,PC_UI,Màn hình chính PC — tab 1,pending
img\pictures\システム\PC_ホーム画面2.png,PC_ホーム画面2.png,PC_UI,Màn hình chính PC — tab 2,pending
img\pictures\システム\PC_ホーム画面3.png,PC_ホーム画面3.png,PC_UI,Màn hình chính PC — tab 3,pending
img\pictures\システム\PC_ホーム画面4.png,PC_ホーム画面4.png,PC_UI,Màn hình chính PC — tab 4,pending
img\pictures\システム\PC_UI 回想1.png,PC_UI 回想1.png,PC_UI,UI hồi ký — trang 1,pending
img\pictures\システム\PC_UI 回想2.png,PC_UI 回想2.png,PC_UI,UI hồi ký — trang 2,pending
img\pictures\システム\PC_UI 戦闘.png,PC_UI 戦闘.png,PC_UI,UI chiến đấu,pending
img\pictures\システム\PC_UI 戦闘2.png,PC_UI 戦闘2.png,PC_UI,UI chiến đấu — trang 2,pending
img\pictures\システム\PC_UI 編成.png,PC_UI 編成.png,PC_UI,UI biên chế đội hình,pending
img\pictures\システム\PC_アフターケア.png,PC_アフターケア.png,PC_UI,UI Aftercare (chăm sóc sau),pending
img\pictures\システム\PC_アフターケアリスト.png,PC_アフターケアリスト.png,PC_UI,UI danh sách Aftercare,pending
img\pictures\システム\PC_クリック誘導スチル7.png,PC_クリック誘導スチル7.png,PC_UI,Hướng dẫn click — still 7,pending
img\pictures\システム\PC_買い物.png,PC_買い物.png,PC_UI,UI mua sắm / shop,pending
img\pictures\システム\チュートリアル1.png,Tutorial_チュートリアル1.png,Tutorial,Hình hướng dẫn trang 1,pending
img\pictures\システム\チュートリアル2.png,Tutorial_チュートリアル2.png,Tutorial,Hình hướng dẫn trang 2,pending
img\pictures\システム\チュートリアル3.png,Tutorial_チュートリアル3.png,Tutorial,Hình hướng dẫn trang 3,pending
img\pictures\システム\チュートリアル4.png,Tutorial_チュートリアル4.png,Tutorial,Hình hướng dẫn trang 4,pending
img\pictures\システム\チュートリアル5.png,Tutorial_チュートリアル5.png,Tutorial,Hình hướng dẫn trang 5,pending
img\pictures\システム\チュートリアル6.png,Tutorial_チュートリアル6.png,Tutorial,Hình hướng dẫn trang 6,pending
img\pictures\システム\チュートリアル7.png,Tutorial_チュートリアル7.png,Tutorial,Hình hướng dẫn trang 7,pending
img\pictures\システム\チュートリアル8.png,Tutorial_チュートリアル8.png,Tutorial,Hình hướng dẫn trang 8,pending
img\pictures\システム\チュートリアル9.png,Tutorial_チュートリアル9.png,Tutorial,Hình hướng dẫn trang 9,pending
img\pictures\システム\チュートリアル10.png,Tutorial_チュートリアル10.png,Tutorial,Hình hướng dẫn trang 10,pending
img\pictures\システム\チュートリアル11.png,Tutorial_チュートリアル11.png,Tutorial,Hình hướng dẫn trang 11,pending
img\pictures\システム\チュートリアル12.png,Tutorial_チュートリアル12.png,Tutorial,Hình hướng dẫn trang 12,pending
img\pictures\システム\チュートリアル13.png,Tutorial_チュートリアル13.png,Tutorial,Hình hướng dẫn trang 13,pending
img\pictures\システム\チュートリアル14.png,Tutorial_チュートリアル14.png,Tutorial,Hình hướng dẫn trang 14,pending
img\pictures\システム\チュートリアル15.png,Tutorial_チュートリアル15.png,Tutorial,Hình hướng dẫn trang 15,pending
img\pictures\システム\チュートリアル16.png,Tutorial_チュートリアル16.png,Tutorial,Hình hướng dẫn trang 16,pending
