original_jp,vietnamese
セラに\v[61]ダメージ！,Sera nhận \v[61] sát thương!
\v[61]ダメージを受けた！,Bị \v[61] sát thương!
\N[1]は射精してしまった！,\N[1] đã bắn tinh mất rồi!
治療に耐えきった！,Đã trụ vững qua buổi trị liệu!
\N[1]はセラに拘束されてしまった！,\N[1] đã bị Sera trói giữ mất rồi!
\c[2]―――　❖　ENEMY TURN　❖　―――,\c[2]―――　❖　ENEMY TURN　❖　―――
セラ「よく頑張りましたね。えらいですよ」,Sera「Cưng đã cố gắng hết mình. Ngoan quá đi」
\N[1]の射精ゲージが\v[74]回復した！,Thanh xuất tinh của \N[1] đã hồi phục \v[74]!
セラは言葉責めで興奮を煽ってきた！,Sera dùng lời nói kích thích làm cưng phấn khích!
残りターンが-1された！,Số lượt còn lại đã bị giảm 1!
\v[61]の防御無視ダメージを受けた！,Bị \v[61] sát thương xuyên phòng thủ!
セラは全然ダメージを受けていない！,Sera chẳng hề nhận chút sát thương nào!
セラは褒め言葉を受け流した！,Sera đã phớt lờ lời khen!
セラ「あまりそういうことを言われると、,"Sera「Bị cưng nói những lời như thế,"
私だって照れてしまうのですが……」,em cũng sẽ thẹn thùng mất thôi……」
呆れられてしまった！,Bị làm cho ngán ngẩm mất rồi!
あげましょう」,dâng tặng cho cưng nhé」
ずるいですよ……！」,thật xảo quyệt mà……！」
なら、めちゃくちゃにして,"vậy thì hãy làm tới bến đi,"
セラ「……そうですか」,Sera「…… Vậy à」
セラ「あ、ありがとうございます……」,"Sera「À, cảm ơn cưng nhé……」"
セラ「あなたの好み、ですか？」,Sera「Sở thích của cưng là vậy sao?」
セラ「あーあ、屈服しちゃいましたね。,"Sera「Ôi trời, đã khuất phục rồi cơ đấy."
セラ「お、大げさですよ」,"Sera「Ơ, thổi phồng quá rồi đấy」"
セラ「それなら良いのですが……」,Sera「Nếu vậy thì tốt quá……」
セラ「もう、えっち」,"Sera「Ôi, đồ hư đốn」"
セラ「好き放題されちゃいますよ」,Sera「Cưng sẽ bị em làm đủ mọi thứ theo ý thích đấy」
セラ「抵抗しないんですか？,Sera「Không phản kháng gì sao?
セラ「本気で口説くなんて,"Sera「Thật sự đi tán tỉnh em,"
セラ「気を遣ってますから……」,Sera「Vì em đang quan tâm tới cưng mà……」
セラ「私だって好きですけど……」,Sera「Em cũng thích cưng lắm đấy……」
セラ「誘惑に耐えられませんでしたか？,Sera「Không thể cưỡng lại lời mời gọi sao?
好き放題されちゃいますよ」,Sẽ bị em làm đủ mọi thứ theo ý thích đấy」
情けないですね」,Thật đáng thương nhỉ」
どれだけ好きなんですか？」,Cưng thích em đến mức nào vậy?」
セラ「もう拘束されているのに……。,Sera「Đã bị trói giữ rồi mà còn……
やっぱりMなんですね」,đúng là M mà nhỉ」
セラ「組み伏せて欲しいんですか？,Sera「Muốn em đè cưng xuống à?
セラはちんこを足でもてあそんだ！,Sera đã nghịch con cu bằng chân!
\N[1]「ばぶばぶ……」,\N[1]「ba bụ ba bụ……」
言語能力を奪われて上手く喋れない！,"Bị tước đoạt ngôn ngữ, không thể nói chuyện bình thường được!"
\c[1]―――　❖　PLAYER TURN　❖　―――,\c[1]―――　❖　PLAYER TURN　❖　―――
セラの誘惑を受け入れてしまった！,Đã chấp nhận lời mời gọi của Sera mất rồi!
しかしこれ以上能力変化を付与できない！,Nhưng không thể gia tăng thay đổi chỉ số thêm được nữa!
セラにパイズリされた！,Bị Sera kẹp ngực!
セラはちんこをしごいてきた！,Sera đã kích thích con cu!
セラの誘惑をはねのけた！,Đã cự tuyệt lời mời gọi của Sera!
防御の構えを取った！,Đã vào thế phòng thủ!
\N[1]は腰を振ってしまった！,\N[1] đã nhún nhảy eo mất rồi!
セラに素股された！,Bị Sera cọ đùi!
セラは胸を押し付けてきた！,Sera đã áp ngực vào cưng!
